#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Argument|Accuracy|Adequacy|Clarity|KriteriumJahresertragEnergiedichte|KriteriumLebensdauerVerfgbarkeit|KriteriumLokaleEmissionenGeruschemissionen|KriteriumPreisBetrieb|KriteriumSonstiges|KriteriumTreibhausgasemissionen|KriteriumWirkungsgrad|OptionA|OptionB|OptionC
#T_SP=webanno.custom.DecisionMakingStrategies|Decision|Gesamtthese
#T_SP=webanno.custom.Struktur|Struktur
#T_SP=webanno.custom.StrukturTAP|TAPArgumente


1-1	0-5	Autos	_	_	_	_	_	_	_	_	_	_	_	_	_	3. Unbegründet[3]	Gesamtthese[3]	Hauptteil[5]	5. Nicht zutreffend[6]	
1-2	6-9	die	_	_	_	_	_	_	_	_	_	_	_	_	_	3. Unbegründet[3]	Gesamtthese[3]	Hauptteil[5]	5. Nicht zutreffend[6]	
1-3	10-13	mit	_	_	_	_	_	_	_	_	_	_	_	_	_	3. Unbegründet[3]	Gesamtthese[3]	Hauptteil[5]	5. Nicht zutreffend[6]	
1-4	14-27	Akkumulatoren	_	_	_	_	_	_	_	_	_	_	_	_	_	3. Unbegründet[3]	Gesamtthese[3]	Hauptteil[5]	5. Nicht zutreffend[6]	
1-5	28-37	betrieben	_	_	_	_	_	_	_	_	_	_	_	_	_	3. Unbegründet[3]	Gesamtthese[3]	Hauptteil[5]	5. Nicht zutreffend[6]	
1-6	38-44	werden	_	_	_	_	_	_	_	_	_	_	_	_	_	3. Unbegründet[3]	Gesamtthese[3]	Hauptteil[5]	5. Nicht zutreffend[6]	
1-7	44-45	,	_	_	_	_	_	_	_	_	_	_	_	_	_	3. Unbegründet[3]	Gesamtthese[3]	Hauptteil[5]	5. Nicht zutreffend[6]	
1-8	46-50	sind	_	_	_	_	_	_	_	_	_	_	_	_	_	3. Unbegründet[3]	Gesamtthese[3]	Hauptteil[5]	5. Nicht zutreffend[6]	
1-9	51-55	viel	_	_	_	_	_	_	_	_	_	_	_	_	_	3. Unbegründet[3]	Gesamtthese[3]	Hauptteil[5]	5. Nicht zutreffend[6]	
1-10	56-58	zu	_	_	_	_	_	_	_	_	_	_	_	_	_	3. Unbegründet[3]	Gesamtthese[3]	Hauptteil[5]	5. Nicht zutreffend[6]	
1-11	59-63	blöd	_	_	_	_	_	_	_	_	_	_	_	_	_	3. Unbegründet[3]	Gesamtthese[3]	Hauptteil[5]	5. Nicht zutreffend[6]	
1-12	63-64	!	_	_	_	_	_	_	_	_	_	_	_	_	_	3. Unbegründet[3]	Gesamtthese[3]	Hauptteil[5]	5. Nicht zutreffend[6]	
1-13	64-65	.	_	_	_	_	_	_	_	_	_	_	_	_	_	3. Unbegründet[3]	Gesamtthese[3]	Hauptteil[5]	5. Nicht zutreffend[6]	

2-1	70-71	.	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	Hauptteil[5]	5. Nicht zutreffend	

3-1	74-77	Die	1. Richtig[1]	1. Angemessen[1]	1. Verständlich[1]	*[1]	Lebensdauer/Verfügbarkeit vorhanden[1]	*[1]	Preis/Betrieb vorhanden[1]	*[1]	Treibhausgasemissionen vorhanden[1]	*[1]	Contra A[1]	*[1]	Contra C[1]	_	_	Hauptteil[5]	1. Claim[7]	
3-2	78-91	Akkumulatoren	1. Richtig[1]	1. Angemessen[1]	1. Verständlich[1]	*[1]	Lebensdauer/Verfügbarkeit vorhanden[1]	*[1]	Preis/Betrieb vorhanden[1]	*[1]	Treibhausgasemissionen vorhanden[1]	*[1]	Contra A[1]	*[1]	Contra C[1]	_	_	Hauptteil[5]	1. Claim[7]	
